trial,sequence,response,correct,total,proportion,extra
1,"3,4,1,9,7,0,3,2","3,4,1,9,7,0,3,2",8,8,1.0,[]
2,"9,9,4,3,9,8,7,9","9,4,3,9,4,8,7,9",4,8,0.5,"[(1, '9', '4'), (2, '4', '3'), (3, '3', '9'), (4, '9', '4')]"
3,"7,3,3,7,7,7,3,9","7,3,3,7,7,7,8,3",6,8,0.75,"[(6, '3', '8'), (7, '9', '3')]"
4,"9,6,5,9,4,7,2,2","4,6,5,9,4,7,2,2",7,8,0.875,"[(0, '9', '4')]"
5,"5,9,2,6,3,8,7,9","5,9,2,6,3,8,7,9",8,8,1.0,[]
6,"5,5,1,7,6,8,0,5","5,5,1,7,6,8,0,5",8,8,1.0,[]
7,"6,8,3,7,0,2,9,7","6,8,3,7,0,2,9,7",8,8,1.0,[]
8,"9,2,7,9,8,5,1,6","9,2,7,9,8,5,2,6",7,8,0.875,"[(6, '1', '2')]"
9,"4,0,2,5,0,5,0,4","4,0,2,5,0,5,0,4",8,8,1.0,[]
10,"9,3,4,3,0,5,6,6","9,3,4,3,0,5,6,6",8,8,1.0,[]
11,"9,2,9,4,2,8,3,8","9,2,4,9,2,8,3,8",6,8,0.75,"[(2, '9', '4'), (3, '4', '9')]"
12,"0,9,7,8,3,1,1,1","0,9,7,8,3,1,1,1",8,8,1.0,[]
13,"5,3,7,4,1,7,8,1","5,3,7,4,5,3,8,1",6,8,0.75,"[(4, '1', '5'), (5, '7', '3')]"
14,"6,3,8,3,9,5,7,3","6,3,8,3,9,5,7,3",8,8,1.0,[]
15,"0,7,5,5,4,4,5,0","0,7,5,5,4,4,5,0",8,8,1.0,[]
16,"9,9,3,4,4,2,3,3","9,9,3,4,4,3,9,3",6,8,0.75,"[(5, '2', '3'), (6, '3', '9')]"
17,"6,6,9,9,5,9,5,9","6,6,9,9,5,9,6,9",7,8,0.875,"[(6, '5', '6')]"
18,"0,8,0,5,0,4,8,1","0,8,0,5,0,4,5,1",7,8,0.875,"[(6, '8', '5')]"
19,"0,0,9,2,4,6,0,4","0,0,9,2,4,0,6,2",5,8,0.625,"[(5, '6', '0'), (6, '0', '6'), (7, '4', '2')]"
20,"0,9,1,1,1,7,4,7","0,9,1,1,1,7,4,7",8,8,1.0,[]
